2023-10-22 05:21:46 status half-installed procps:amd64 2:3.3.16-1ubuntu2
2023-10-22 05:21:46 status unpacked procps:amd64 2:3.3.16-1ubuntu2
2023-10-22 05:21:46 install sed:amd64 <none> 4.7-1
2023-10-22 05:21:46 status half-installed sed:amd64 4.7-1
2023-10-22 05:21:46 status unpacked sed:amd64 4.7-1
2023-10-22 05:21:46 install sensible-utils:all <none> 0.0.12+nmu1
2023-10-22 05:21:46 status half-installed sensible-utils:all 0.0.12+nmu1
2023-10-22 05:21:46 status unpacked sensible-utils:all 0.0.12+nmu1
2023-10-22 05:21:46 install sysvinit-utils:amd64 <none> 2.96-2.1ubuntu1
2023-10-22 05:21:46 status half-installed sysvinit-utils:amd64 2.96-2.1ubuntu1
2023-10-22 05:21:46 status unpacked sysvinit-utils:amd64 2.96-2.1ubuntu1
2023-10-22 05:21:46 install tar:amd64 <none> 1.30+dfsg-7
2023-10-22 05:21:46 status half-installed tar:amd64 1.30+dfsg-7
2023-10-22 05:21:46 status unpacked tar:amd64 1.30+dfsg-7
2023-10-22 05:21:46 install util-linux:amd64 <none> 2.34-0.1ubuntu9
2023-10-22 05:21:46 status half-installed util-linux:amd64 2.34-0.1ubuntu9
2023-10-22 05:21:46 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2023-10-22 05:21:46 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu1
2023-10-22 05:21:46 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2023-10-22 05:21:46 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2023-10-22 05:21:46 startup packages configure
2023-10-22 05:21:46 configure lsb-base:all 11.1.0ubuntu2 <none>
2023-10-22 05:21:46 status unpacked lsb-base:all 11.1.0ubuntu2
2023-10-22 05:21:46 status half-configured lsb-base:all 11.1.0ubuntu2
2023-10-22 05:21:46 status installed lsb-base:all 11.1.0ubuntu2
2023-10-22 05:21:46 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2023-10-22 05:21:46 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2023-10-22 05:21:46 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2023-10-22 05:21:46 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2023-10-22 05:21:46 configure libsemanage-common:all 3.0-1build2 <none>
2023-10-22 05:21:46 status unpacked libsemanage-common:all 3.0-1build2
2023-10-22 05:21:46 status half-configured libsemanage-common:all 3.0-1build2
2023-10-22 05:21:46 status installed libsemanage-common:all 3.0-1build2
2023-10-22 05:21:46 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2023-10-22 05:21:46 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2023-10-22 05:21:46 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2023-10-22 05:21:46 status installed gcc-10-base:amd64 10-20200411-0ubuntu1
2023-10-22 05:21:46 configure ncurses-base:all 6.2-0ubuntu2 <none>
2023-10-22 05:21:46 status unpacked ncurses-base:all 6.2-0ubuntu2
2023-10-22 05:21:46 status half-configured ncurses-base:all 6.2-0ubuntu2
2023-10-22 05:21:46 status installed ncurses-base:all 6.2-0ubuntu2
2023-10-22 05:21:46 configure sensible-utils:all 0.0.12+nmu1 <none>
2023-10-22 05:21:46 status unpacked sensible-utils:all 0.0.12+nmu1
2023-10-22 05:21:46 status half-configured sensible-utils:all 0.0.12+nmu1
2023-10-22 05:21:46 status installed sensible-utils:all 0.0.12+nmu1
2023-10-22 05:21:46 configure libcrypt1:amd64 1:4.4.10-10ubuntu4 <none>
2023-10-22 05:21:46 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2023-10-22 05:21:46 status half-configured libcrypt1:amd64 1:4.4.10-10ubuntu4
2023-10-22 05:21:46 status installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2023-10-22 05:21:46 configure libgcc-s1:amd64 10-20200411-0ubuntu1 <none>
2023-10-22 05:21:46 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2023-10-22 05:21:46 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2023-10-22 05:21:46 status installed libgcc-s1:amd64 10-20200411-0ubuntu1
2023-10-22 05:21:46 configure libc6:amd64 2.31-0ubuntu9 <none>
2023-10-22 05:21:46 status unpacked libc6:amd64 2.31-0ubuntu9
2023-10-22 05:21:46 status half-configured libc6:amd64 2.31-0ubuntu9
2023-10-22 05:21:47 status installed libc6:amd64 2.31-0ubuntu9
2023-10-22 05:21:47 configure libudev1:amd64 245.4-4ubuntu3 <none>
2023-10-22 05:21:47 status unpacked libudev1:amd64 245.4-4ubuntu3
2023-10-22 05:21:47 status half-configured libudev1:amd64 245.4-4ubuntu3
2023-10-22 05:21:47 status installed libudev1:amd64 245.4-4ubuntu3
2023-10-22 05:21:47 configure libsepol1:amd64 3.0-1 <none>
2023-10-22 05:21:47 status unpacked libsepol1:amd64 3.0-1
2023-10-22 05:21:47 status half-configured libsepol1:amd64 3.0-1
2023-10-22 05:21:47 status installed libsepol1:amd64 3.0-1
2023-10-22 05:21:47 configure libattr1:amd64 1:2.4.48-5 <none>
2023-10-22 05:21:47 status unpacked libattr1:amd64 1:2.4.48-5
2023-10-22 05:21:47 status half-configured libattr1:amd64 1:2.4.48-5
2023-10-22 05:21:47 status installed libattr1:amd64 1:2.4.48-5
2023-10-22 05:21:47 configure debianutils:amd64 4.9.1 <none>
2023-10-22 05:21:47 status unpacked debianutils:amd64 4.9.1
2023-10-22 05:21:47 status half-configured debianutils:amd64 4.9.1
2023-10-22 05:21:47 status installed debianutils:amd64 4.9.1
2023-10-22 05:21:47 configure mawk:amd64 1.3.4.20200120-2 <none>
2023-10-22 05:21:47 status unpacked mawk:amd64 1.3.4.20200120-2
2023-10-22 05:21:47 status half-configured mawk:amd64 1.3.4.20200120-2
2023-10-22 05:21:47 status installed mawk:amd64 1.3.4.20200120-2
2023-10-22 05:21:47 configure libdebconfclient0:amd64 0.251ubuntu1 <none>
2023-10-22 05:21:47 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2023-10-22 05:21:47 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2023-10-22 05:21:47 status installed libdebconfclient0:amd64 0.251ubuntu1
2023-10-22 05:21:47 configure base-files:amd64 11ubuntu5 <none>
2023-10-22 05:21:47 status unpacked base-files:amd64 11ubuntu5
2023-10-22 05:21:47 status half-configured base-files:amd64 11ubuntu5
2023-10-22 05:21:47 status installed base-files:amd64 11ubuntu5
2023-10-22 05:21:47 configure libbz2-1.0:amd64 1.0.8-2 <none>
2023-10-22 05:21:47 status unpacked libbz2-1.0:amd64 1.0.8-2
2023-10-22 05:21:47 status half-configured libbz2-1.0:amd64 1.0.8-2
2023-10-22 05:21:47 status installed libbz2-1.0:amd64 1.0.8-2
2023-10-22 05:21:47 configure base-passwd:amd64 3.5.47 <none>
2023-10-22 05:21:47 status unpacked base-passwd:amd64 3.5.47
2023-10-22 05:21:47 status half-configured base-passwd:amd64 3.5.47
2023-10-22 05:21:47 status installed base-passwd:amd64 3.5.47
